,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
jobs,59,economy,25,0.008048015277588324,0.561101383649056,0.004515752507883551,1.0,,,0.01282051282051282,,,,0.045454545454545456,,0.007518796992481203,,,,,0.00909090909090909,,0.00847457627118644,0.01098901098901099,,0.023529411764705882,,,,,0.012658227848101266,0.02631578947368421,,,0.031746031746031744,,,0.01282051282051282,,0.0125,0.0125,0.012987012987012988,0.21428571428571427,0.018518518518518517,,,,,,,,,,0.014925373134328358,,,,,,,,,,,,0.03508771929824561,0.12698412698412698,,,,0.03225806451612903,,,,,,,,,,0.022556390977443608,,0.008130081300813009,,,,,0.01818181818181818,,,0.031746031746031744,,,,,,0.11594202898550725,
congress,54,government,32,0.007365980084572364,0.4538914140011876,0.0033433551160911377,1.0,,,0.02564102564102564,0.015384615384615385,,,,0.029850746268656716,0.022556390977443608,,0.0136986301369863,,,,0.058823529411764705,,,0.017857142857142856,,0.016129032258064516,,,,,,0.017543859649122806,,,0.02702702702702703,0.05405405405405406,,,0.0375,,0.025974025974025976,,0.009259259259259259,,,0.023809523809523808,0.01694915254237288,,,0.014285714285714285,0.014285714285714285,0.012987012987012988,0.014925373134328358,,0.024096385542168676,,,0.015873015873015872,,,,,,0.008130081300813009,,0.031746031746031744,0.01282051282051282,,0.01639344262295082,,,,0.011363636363636364,,,,,0.005434782608695652,0.006289308176100629,,,,0.05263157894736842,,,,,,0.014925373134328358,,,,,,0.0625,,
election,54,presidentialElection,27,0.007365980084572364,0.5276776281621063,0.0038868629001164562,1.0,,,0.01282051282051282,,,,,,0.007518796992481203,,0.0136986301369863,,0.014285714285714285,0.022727272727272728,,,,,,,0.0058823529411764705,0.05426356589147287,0.00909090909090909,,,0.017543859649122806,,,,,,0.06382978723404255,,,0.012987012987012988,,,0.02127659574468085,,0.011904761904761904,0.01694915254237288,,,,0.014285714285714285,,,,,,0.02,,,,,,,0.008130081300813009,,,0.10256410256410256,,0.01639344262295082,0.016129032258064516,,,,0.022727272727272728,,,,,0.018867924528301886,,,,,,0.037037037037037035,,0.01818181818181818,0.03333333333333333,,,,,0.05660377358490566,,,,0.045454545454545456
policy,48,policy,29,0.006547537852953212,0.4966433944221375,0.0032517914243981177,1.0,,,,,,,0.045454545454545456,0.014925373134328358,,,0.0136986301369863,,,0.004545454545454545,,,0.01098901098901099,,0.01764705882352941,,,,,0.012658227848101266,,,,0.015873015873015872,,,,0.02127659574468085,,,,,0.009259259259259259,0.02127659574468085,,,,0.014492753623188406,,,0.02857142857142857,,0.04477611940298507,,0.012048192771084338,,0.02,0.015873015873015872,0.03636363636363636,,0.012987012987012988,,0.025,,,,,0.007194244604316547,,,,,,0.045454545454545456,,0.02040816326530612,0.01694915254237288,0.016304347826086956,,0.022556390977443608,,,,,,,0.03636363636363636,,,0.015873015873015872,,,,,0.020833333333333332,,
mexico,46,centralAmericanNations,21,0.006274723775746828,0.6368220975871743,0.00399588275665121,1.0,,,0.01282051282051282,,,,0.10227272727272728,0.04477611940298507,,,,,,0.004545454545454545,0.04411764705882353,0.00847457627118644,0.02197802197802198,0.07142857142857142,0.0058823529411764705,,,,,,,,,,,0.04054054054054054,0.01282051282051282,,0.0125,,,,0.009259259259259259,,,,,,,,,0.025974025974025976,,,,0.017241379310344827,,,0.03636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,0.037037037037037035,,,0.03333333333333333,,0.031746031746031744,,,,,0.020833333333333332,0.043478260869565216,
campaign,45,presidentialCampaign,31,0.0061383167371436365,0.46767969848682095,0.0028707661208439423,1.0,0.018518518518518517,,,,,,,0.014925373134328358,,0.018867924528301886,0.0136986301369863,,,0.00909090909090909,,0.01694915254237288,0.005494505494505495,0.017857142857142856,0.01764705882352941,,,0.015503875968992248,0.00909090909090909,,,,,0.015873015873015872,,0.02702702702702703,,,0.0125,,,,0.009259259259259259,0.010638297872340425,,,0.01694915254237288,,,,,0.012987012987012988,,0.023529411764705882,0.006024096385542169,,,,,,,,0.0125,0.008130081300813009,,,,0.007194244604316547,0.01639344262295082,,,,,,,,0.01694915254237288,0.005434782608695652,0.0440251572327044,,,,,,,,,,0.029850746268656716,,,,0.018867924528301886,,,0.014492753623188406,0.015151515151515152
immigrant,44,immigration,15,0.006001909698540445,0.7829501332654123,0.004699195998319212,1.0,0.037037037037037035,,0.01282051282051282,,,,,0.014925373134328358,,,,,,,0.014705882352941176,0.00847457627118644,0.01098901098901099,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014285714285714285,0.07792207792207792,,,,,,0.14285714285714285,,,,,0.0125,,,,,,0.01639344262295082,,,,0.10227272727272728,,,0.04081632653061224,,,,,,,,,,,,,,,0.10526315789473684,,,,,,0.015151515151515152
obamacare,42,healthcare,11,0.005729095621334061,0.9176487071628686,0.005257297190129652,1.0,,,0.01282051282051282,0.015384615384615385,,,,0.014925373134328358,,,,0.03636363636363636,,,,0.00847457627118644,,,,,,,,,0.02631578947368421,,,,,,,0.02127659574468085,,,0.03896103896103896,,,,,0.023809523809523808,,,0.06315789473684211,,,,,,0.13855421686746988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigration,41,immigration,18,0.005592688582730869,0.7037688872177875,0.003935960220424129,1.0,0.05555555555555555,,0.01282051282051282,,0.0196078431372549,,,0.014925373134328358,,0.018867924528301886,,0.01818181818181818,,,,0.025423728813559324,0.016483516483516484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,0.015873015873015872,,,,,,,,,,0.007194244604316547,0.13114754098360656,,,,0.03409090909090909,0.022727272727272728,,0.04081632653061224,,,,,,,0.017543859649122806,,,,,,,,0.03508771929824561,,,,0.020833333333333332,,
company,40,americanBusiness,20,0.005456281544127677,0.6580113966571124,0.0035902954394058787,1.0,,,0.01282051282051282,,,0.014492753623188406,0.022727272727272728,,,,,,,0.004545454545454545,,0.00847457627118644,,,0.0058823529411764705,,,,,0.02531645569620253,,,,,,,0.01282051282051282,,,,,,0.027777777777777776,,,,,0.014492753623188406,,,,,0.029850746268656716,,,0.034482758620689655,,,,,,,,,0.017543859649122806,0.06349206349206349,0.01282051282051282,,,0.016129032258064516,,,,,,,,0.016304347826086956,,,,0.06504065040650407,,,,,,,,,,,0.03773584905660377,,,0.028985507246376812,
barackObama,39,barackObama,27,0.005319874505524485,0.5276776281621063,0.002807178761195218,1.0,0.018518518518518517,,0.01282051282051282,,,,,0.014925373134328358,,,0.0547945205479452,0.01818181818181818,0.014285714285714285,0.004545454545454545,0.014705882352941176,0.00847457627118644,,,0.011764705882352941,,0.01764705882352941,0.007751937984496124,0.00909090909090909,0.02531645569620253,,,,0.015873015873015872,,,,0.02127659574468085,,,,,,0.010638297872340425,0.012345679012345678,,,,,,,0.025974025974025976,0.05970149253731343,,0.006024096385542169,,,,,,,,,0.008130081300813009,,,,0.007194244604316547,,,,0.006289308176100629,,0.022727272727272728,,,,,,0.007518796992481203,,,,,,,,,,,,,,0.017543859649122806,,,
trumpAdministration,36,trumpAdministration,23,0.00491065338971491,0.5973135563035007,0.002933199839984453,0.1,0.001851851851851852,,,,,,,,,0.0018867924528301887,,0.0036363636363636364,,0.0018181818181818182,,,,0.0017857142857142857,,0.0032258064516129032,0.0005882352941176471,,,,,,,,,,,,,,,,0.001851851851851852,,,0.0011904761904761906,,,,,,0.003896103896103896,,,0.0006024096385542169,,,0.0015873015873015873,,,0.001298701298701299,,,,,,,,,,,0.0018867924528301887,0.002272727272727273,,,,,0.0005434782608695652,,0.0015037593984962407,0.002127659574468085,,0.0017543859649122807,,,0.0007751937984496124,,,,,,0.002,,0.0017543859649122807,0.004166666666666667,,
washington,36,unitedStates,22,0.00491065338971491,0.6166187114988874,0.003028000765783651,1.0,,,0.02564102564102564,,,,,,0.007518796992481203,,0.0273972602739726,,0.007142857142857143,0.00909090909090909,,,,,,,0.011764705882352941,,,,,0.05263157894736842,,,,,0.01282051282051282,,0.0125,,,,,0.0425531914893617,,,,,0.031578947368421054,,0.04285714285714286,,0.014925373134328358,0.011764705882352941,0.006024096385542169,,,,,,,,,,,0.015873015873015872,,0.014388489208633094,,,0.023255813953488372,0.006289308176100629,,,,,,,,0.007518796992481203,,0.008130081300813009,,,,,,,,,,,,0.017543859649122806,,,
world,36,foreignPolicy,17,0.00491065338971491,0.7285924709428196,0.003577865087156119,0.1,,0.002898550724637681,,,,,,,0.0007518796992481203,,,,0.0007142857142857143,,,,,,,,0.005294117647058824,0.0007751937984496124,,,,,,,,,0.002564102564102564,,,,,,,,,,,,,,0.0014285714285714286,,,,,0.0034482758620689655,0.006,,,,0.002597402597402598,0.002040816326530612,,,,,,0.002877697841726619,,,,,,,0.0017241379310344827,,,,,0.0015037593984962407,,0.0008130081300813009,,,,0.0007751937984496124,,,,0.0031746031746031746,,,,,,,
economy,34,economy,22,0.0046378393125085255,0.6166187114988874,0.0028597785010178924,0.1,,,0.001282051282051282,,,,,,0.002255639097744361,,,,,,,,0.0016483516483516486,,0.0011764705882352942,,0.0011764705882352942,,,0.0012658227848101266,,,,,0.005405405405405406,,0.001282051282051282,0.00425531914893617,0.0012500000000000002,,0.001298701298701299,,,,,,,0.0014492753623188406,,,,,0.0014925373134328358,,,0.0034482758620689655,,0.0031746031746031746,,,,,,,0.0017543859649122807,0.0015873015873015873,,,,,,,,0.002272727272727273,,,,0.0005434782608695652,,,,,,,,,,,,0.0031746031746031746,,0.002,,,,,0.0030303030303030307
regulation,33,policy,13,0.004501432273905334,0.8450980400142568,0.0038041515919343166,1.0,,,0.02564102564102564,,,,,0.014925373134328358,,,,,,0.004545454545454545,,0.03389830508474576,0.01098901098901099,,0.01764705882352941,0.03225806451612903,,,,0.0759493670886076,,,,0.047619047619047616,,,,0.0851063829787234,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,0.0625,,
wall,31,borderWall,14,0.00422861819669895,0.8129133566428556,0.003437500212239602,1.0,,,0.01282051282051282,,,,,0.029850746268656716,,,,,,,0.10294117647058823,0.01694915254237288,0.005494505494505495,0.03571428571428571,,,,,,,,,,,,0.04054054054054054,,,0.0125,,,,,,,,,,,,,0.03896103896103896,,,,,,,0.01818181818181818,,,,0.0125,,,,,,,,,,,,,0.02040816326530612,,,,,,,0.08771929824561403,,,,,,,,,,,,0.020833333333333332,,
vote,28,presidentialElection,16,0.0038193970808893737,0.7549214096651689,0.002883344628376037,1.0,,,,,,,0.011363636363636364,,,,,0.01818181818181818,0.007142857142857143,0.004545454545454545,,,0.005494505494505495,,,,,0.007751937984496124,,,0.05263157894736842,,,,0.02702702702702703,,,,,0.0125,0.06493506493506493,,,,0.037037037037037035,,,,0.031578947368421054,0.04285714285714286,0.02857142857142857,,,,0.006024096385542169,,,,,,,,,,,,,,0.01639344262295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presidentElectDonaldTrump,27,presidentdonaldTrump,13,0.003682990042286182,0.8450980400142568,0.0031124876661280773,1.0,,,,,0.0196078431372549,0.028985507246376812,0.011363636363636364,,,0.018867924528301886,0.0273972602739726,,0.02857142857142857,0.03636363636363636,,0.00847457627118644,0.005494505494505495,0.017857142857142856,,0.016129032258064516,,0.007751937984496124,0.02727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border,27,borderSecurity,15,0.003682990042286182,0.7829501332654123,0.0028835975444231527,1.0,,,,,,,0.011363636363636364,0.014925373134328358,,,,,,,0.014705882352941176,0.00847457627118644,,0.03571428571428571,0.0058823529411764705,,,,,,,,,,,0.10810810810810811,,,,,,,,0.02127659574468085,,,,,,0.014285714285714285,,0.025974025974025976,,,,,,,,,,,0.0125,,,,,,,,,,,,,0.02040816326530612,,,,,,,0.03508771929824561,,,,,,,0.015873015873015872,,,,,0.041666666666666664,,
trade,27,trade,11,0.003682990042286182,0.9176487071628686,0.0033796910507976337,1.0,,,,,0.0196078431372549,,0.03409090909090909,0.029850746268656716,,,,,,,,,0.005494505494505495,,,,,,,,,,,,,,0.01282051282051282,,,,,,0.018518518518518517,,,,,0.028985507246376812,,,,,,0.023529411764705882,,,,,,,,0.02040816326530612,,,,,,,,,,,,,,,,0.03260869565217391,,,,,,,,,,,,0.09523809523809523,,,,,,,
business,26,business,18,0.00354658300368299,0.7037688872177875,0.002495974773927496,1.0,,,,0.03076923076923077,,0.014492753623188406,,,0.007518796992481203,,,,,0.004545454545454545,,,,,0.0058823529411764705,,,0.007751937984496124,,,,,,,,,,0.0425531914893617,,,,,,,,,,,,,,,0.04477611940298507,,,0.05172413793103448,,0.015873015873015872,,,,,,,0.017543859649122806,0.031746031746031744,,,,,,,0.011363636363636364,,,,,0.005434782608695652,,0.015037593984962405,,0.008130081300813009,,0.019230769230769232,,,,,,,,,,,,,0.015151515151515152
obama,25,barackObama,17,0.0034101759650797983,0.7285924709428196,0.002484628532747305,1.0,,,,,0.0196078431372549,,,0.029850746268656716,,,,,0.02142857142857143,,,0.00847457627118644,0.005494505494505495,,0.0058823529411764705,,0.011764705882352941,0.007751937984496124,,0.0379746835443038,,,,0.015873015873015872,,,,0.02127659574468085,,,,,,,,,,,,,,0.012987012987012988,,,0.018072289156626505,,,,,,,,,,,,,0.007194244604316547,,,,,,,,0.02040816326530612,,,,0.007518796992481203,0.02127659574468085,,,,,,,,,,,,,,,,
daca,25,daca,7,0.0034101759650797983,1.1139433523068367,0.0037987428464971926,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05194805194805195,,,,,,0.2222222222222222,,,,,0.025,,,,,,0.22950819672131148,,,,0.022727272727272728,,,0.16326530612244897,,,,,,,0.10526315789473684,,,,,,,,,,,,,,
gop,24,republican,11,0.003273768926476606,0.9176487071628686,0.0030041698229312298,1.0,,,,0.03076923076923077,,,,,,,,0.03636363636363636,,,,,,0.017857142857142856,,,,,,,,,,,,,,,,,0.025974025974025976,,,,,,0.05084745762711865,,0.021052631578947368,,,,,,0.030120481927710843,,,,,,,,0.0125,,,,,,0.01639344262295082,,,,,,,,,0.005434782608695652,,,,,,,,,,,,,,,,,,,0.06060606060606061
conflict,24,conflict,8,0.003273768926476606,1.05595140532915,0.0034569408986358753,0.1,,,,,,0.005797101449275362,,,,,,,,0.0027272727272727275,,,,,,,,,,,,,,,,,,,,,,,,0.0010638297872340426,,,,0.0014492753623188406,,,,,,,,,,,,,,,,,,,,,,,,0.001257861635220126,0.0011363636363636365,,,,,,,,,0.006504065040650407,,,,0.0007751937984496124,,,,,,,,,,,
court,23,supremeCourt,9,0.003137361887873414,1.0047988828817687,0.003152417720131043,1.0,,,,,,,,,,0.09433962264150944,,,,,,,,,,0.016129032258064516,,,,,,,,0.015873015873015872,,0.013513513513513514,,,,0.0125,,,,,0.037037037037037035,,,,,0.07142857142857142,,0.012987012987012988,,,,,,,,,0.06493506493506493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worker,22,jobs,14,0.0030009548492702224,0.8129133566428556,0.0024395162796539112,1.0,,,0.038461538461538464,,,,,,,,,,,0.004545454545454545,,0.00847457627118644,,,,,,,,0.012658227848101266,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,,0.06349206349206349,,0.01098901098901099,,,,,0.017543859649122806,0.047619047619047616,,,,,,,0.011363636363636364,,0.017241379310344827,,,,,0.007518796992481203,0.02127659574468085,,,,,,,,,,,,,,,0.028985507246376812,
investigation,22,russiaElectionHacking,6,0.0030009548492702224,1.18089014193745,0.0035437979979025917,1.0,,,,,,0.043478260869565216,,,,,,,,,,,,,,,,,,,,0.03508771929824561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016260162601626018,,,,,,,,,,,,,,0.010869565217391304,0.05660377358490566,,,,,,,,,,0.05970149253731343,,,,,,,,
southKorea,22,northSouthKorea,5,0.0030009548492702224,1.2600713879850747,0.00378141734220047,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046296296296296294,0.06382978723404255,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03773584905660377,,,,,,0.005434782608695652,,,,,,,,0.031007751937984496,,,,,,,,,,,
new york,22,unitedStates,14,0.0030009548492702224,0.8129133566428556,0.0024395162796539112,1.0,,,,,,,,,0.007518796992481203,,0.0136986301369863,,,0.013636363636363636,0.014705882352941176,,0.03296703296703297,,0.0058823529411764705,,,,0.00909090909090909,,,,,,,,,,,,,,,,,,,,,,0.014285714285714285,,,,0.006024096385542169,,,,,,,,,0.008130081300813009,,,0.01282051282051282,,,,,0.006289308176100629,,,,,,,,,,0.016260162601626018,,,,,,,,,0.017543859649122806,,,,,,
sanction,21,trade,13,0.0028645478106670303,0.8450980400142568,0.0024208237403218376,1.0,,,,,,,,,,,0.0136986301369863,,0.014285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,0.010638297872340425,,,,0.043478260869565216,,,0.014285714285714285,,0.014925373134328358,,,,0.02,,,,,,,0.016260162601626018,,,,,,,,0.012578616352201259,,,,,,,,,,0.016260162601626018,,,,0.015503875968992248,,,,0.015873015873015872,,0.04,,,,,
